team,home championship,,,
3215,Houston,,,
3216,Houston,,,
3218,Houston,,,
3219,Houston,,,
3220,Houston,,,
3223,Houston,,,
3225,Houston,,,
3229,Houston,,,
3230,Houston,,,
3234,St. Louis,,,
3236,St. Louis,,,
3238,Houston,,,
3239,Houston,,,
3240,Houston,,,
3242,Houston,,,
3243,Houston,,,
3244,St. Louis,,,
3245,Houston,,,
3247,Houston,,,
3250,Houston,,,
3255,Houston,,,
3256,Houston,,,
3257,Houston,,,
3258,St. Louis,,,
3259,St. Louis,,,
3260,St. Louis,,,
3265,Houston,,,
3266,St. Louis,,,
3267,St. Louis,,,
3268,Houston,,,
3274,St. Louis,,,
3275,St. Louis,,,
3276,St. Louis,,,
3277,St. Louis,,,
3278,St. Louis,,,
3282,Houston,,,
3283,St. Louis,,,
3284,St. Louis,,,
3288,Houston,,,
3289,Houston,,,
3291,St. Louis,,,
3292,St. Louis,,,
3293,St. Louis,,,
3294,St. Louis,,,
3295,Houston,,,
3297,St. Louis,,,
3298,St. Louis,,,
3299,St. Louis,,,
3300,St. Louis,,,
3302,St. Louis,,,
3303,Houston,,,
3305,Houston,,,
3309,Houston,,,
3310,Houston,,,
3313,St. Louis,,,
3314,St. Louis,,,
3316,Houston,,,
3318,Houston,,,
3319,Houston,,,
3321,Houston,,,
3322,St. Louis,,,
3323,St. Louis,,,
3324,St. Louis,,,
3328,Houston,,,
3329,Houston,,,
3330,St. Louis,,,
3331,Houston,,,
3335,Houston,,,
3336,Houston,,,
3337,Houston,,,
3339,Houston,,,
3340,St. Louis,,,
3341,Houston,,,
3344,Houston,,,
3345,Houston,,,
3350,Houston,,,
3352,St. Louis,,,
3354,Houston,,,
3355,Houston,,,
3356,St. Louis,,,
3357,St. Louis,,,
3359,St. Louis,,,
3360,St. Louis,,,
3361,St. Louis,,,
3366,Houston,,,
3367,St. Louis,,,
3370,Houston,,,
3373,St. Louis,,,
